,Name,Address,latitude,longitude,geometry
131,Plaid Pantry,1305 SW 11th Ave,45.5162513,-122.68580469217872,POINT (-122.68580469217872 45.5162513)
132,The Benson Tower,1500 SW 11th Ave,45.5146412,-122.68590091880712,POINT (-122.68590091880712 45.5146412)
133,,SW 12th & Jefferson,38.8887736,-77.0285632,POINT (-77.0285632 38.8887736)
134,The 1200 Building,1220 SW 12TH,45.334563,-122.875037,POINT (-122.875037 45.334563)
135,Peter Paulson Apartments,1530 SW 13TH,40.79776646938775,-96.74032091836736,POINT (-96.74032091836736 40.79776646938775)
136,Vista Spring,2440 SW VISTA AVE.,45.50963793877551,-122.69876928571428,POINT (-122.69876928571428 45.50963793877551)
137,Street,NE 82nd & Jonesmore,45.534034,-122.578772,POINT (-122.578772 45.534034)
138,Lucky Lion,7817 NE Halsey St,45.533684163265306,-122.5827461632653,POINT (-122.5827461632653 45.533684163265306)
139,The Grass Shack,6802 NE Broadway St,45.000505,-93.2130547,POINT (-93.2130547 45.000505)
140,Nectar - Sandy,3350 NE Sandy Blvd,45.5318681,-122.6296941,POINT (-122.6296941 45.5318681)
141,,3028 NE Sandy Blvd,45.5303714,-122.6336976,POINT (-122.6336976 45.5303714)
142,Katie O'Briens,2809 NE Sandy Blvd,45.5295351,-122.63694034608218,POINT (-122.63694034608218 45.5295351)
143,Seven Virtues Coffee,2705 NE SANDY,45.5291465,-122.6381368,POINT (-122.6381368 45.5291465)
144,Basilisk,820 NE 27th Ave,45.5290342,-122.6382126,POINT (-122.6382126 45.5290342)
145,Pollo Norte,2935 NE Glisan St,45.5268024,-122.63509447451474,POINT (-122.63509447451474 45.5268024)
146,K & T Market,2731 NE GLISAN,45.5267851,-122.6374553,POINT (-122.6374553 45.5267851)
147,NE Corner,28TH & NE GLISAN,45.5263813,-122.6369736,POINT (-122.6369736 45.5263813)
148,Stamtisch,401 NE 28th Ave,45.52585525,-122.63745077513336,POINT (-122.63745077513336 45.52585525)
149,City State Diner,126 NE 28TH AVE,45.52383706122449,-122.63712587755104,POINT (-122.63712587755104 45.52383706122449)
150,Crema,100 NE 28TH ST,32.79471405,-97.3484962003173,POINT (-97.3484962003173 32.79471405)
151,Laurelhurst Theater    ,2735 E BURNSIDE,45.52323845,-122.63751375,POINT (-122.63751375 45.52323845)
152,Starbucks - Wwbox,2803 E BURNSIDE,45.5230308,-122.6371351,POINT (-122.6371351 45.5230308)
